Waktu,User,Aktivitas
2025-12-12 01:06:39,Bendahara 1,Input data keuangan baru
2025-12-12 01:09:31,Bendahara 1,Input data keuangan baru
2025-12-12 03:41:49,Bendahara 1,Input barang baru
2025-12-12 12:51:09,Ketua,Edit data keuangan index 35
2025-12-12 12:53:34,Bendahara 1,Input data keuangan baru
2025-12-12 13:23:03,Bendahara 1,Input data keuangan baru
2025-12-12 13:24:41,Ketua,Edit data barang index 8
2025-12-12 13:25:03,Bendahara 1,Input data keuangan baru
2025-12-12 13:26:32,Ketua,Edit data keuangan index 38
2025-12-12 13:28:29,Ketua,Edit data keuangan index 38
2025-12-12 13:28:53,Ketua,Edit data keuangan index 38
